[besr_adm@rel14620cor001 root]$ source_control -l ALL
perf:eeaims007mfd:0                     uplane_perf_7                 917 sec        pag       ACTIVE
perf:eeaims007wvn:0                     uplane_perf_0                 986 sec        pag       ACTIVE
perf:eeaims008bkt:0                     uplane_perf_7                 892 sec        pag       ACTIVE
perf:eeaims008cro:0                     uplane_perf_5                 1122 sec       pag       ACTIVE
perf:eeaims008lds:0                     uplane_perf_0                 981 sec        pag       ACTIVE
perf:eeaims008ltn:0                     uplane_perf_7                 926 sec        pag       ACTIVE
perf:eeaims008mfd:0                     uplane_perf_0                 983 sec        pag       ACTIVE
perf:eeaims008wvn:0                     uplane_perf_1                 857 sec        pag       ACTIVE
perf:eeaims009bkt:0                     uplane_perf_0                 948 sec        pag       ACTIVE
perf:eeaims009cro:0                     uplane_perf_6                 1185 sec       pag       ACTIVE
perf:eeaims009lds:0                     uplane_perf_1                 861 sec        pag       ACTIVE
perf:eeaims009ltn:0                     uplane_perf_0                 984 sec        pag       ACTIVE
perf:eeaims009mfd:0                     uplane_perf_1                 857 sec        pag       ACTIVE
perf:eeaims009wvn:0                     uplane_perf_2                 1064 sec       pag       ACTIVE
perf:eeaims010cro:0                     uplane_perf_7                 944 sec        pag       ACTIVE
perf:eeaims010ltn:0                     uplane_perf_1                 858 sec        pag       ACTIVE
perf:eeaims010mfd:0                     uplane_perf_2                 1060 sec       pag       ACTIVE
perf:eeaims010wvn:0                     uplane_perf_3                 1093 sec       pag       ACTIVE
perf:eeaims011cro:0                     uplane_perf_0                 1004 sec       pag       ACTIVE
perf:eeaims011ltn:0                     uplane_perf_2                 1061 sec       pag       ACTIVE
perf:eeaims011mfd:0                     uplane_perf_3                 1087 sec       pag       ACTIVE
perf:eeaims011wvn:0                     uplane_perf_4                 980 sec        pag       ACTIVE
perf:eeaprb103bkt:0                     uplane_perf_0                 806 sec        pag       ACTIVE
perf:eeaprb103bkt:1                     uplane_perf_3                 874 sec        pag       ACTIVE
perf:eeaprb103bkt:2                     uplane_perf_6                 937 sec        pag       ACTIVE
perf:eeaprb103bkt:3                     uplane_perf_1                 635 sec        pag       ACTIVE
perf:eeaprb103cro:0                     uplane_perf_4                 820 sec        pag       ACTIVE
perf:eeaprb103cro:1                     uplane_perf_7                 753 sec        pag       ACTIVE
perf:eeaprb103cro:2                     uplane_perf_2                 891 sec        pag       ACTIVE
perf:eeaprb103cro:3                     uplane_perf_5                 929 sec        pag       ACTIVE
perf:eeaprb103lds:0                     uplane_perf_0                 692 sec        pag       ACTIVE
perf:eeaprb103lds:1                     uplane_perf_3                 796 sec        pag       ACTIVE
perf:eeaprb103lds:2                     uplane_perf_6                 876 sec        pag       ACTIVE
perf:eeaprb103lds:3                     uplane_perf_1                 558 sec        pag       ACTIVE
perf:eeaprb103ltn:0                     uplane_perf_4                 814 sec        pag       ACTIVE
perf:eeaprb103ltn:1                     uplane_perf_7                 733 sec        pag       ACTIVE
perf:eeaprb103ltn:2                     uplane_perf_2                 854 sec        pag       ACTIVE
perf:eeaprb103ltn:3                     uplane_perf_5                 931 sec        pag       ACTIVE
perf:eeaprb103mfd:0                     uplane_perf_0                 836 sec        pag       ACTIVE
perf:eeaprb103mfd:1                     uplane_perf_2                 897 sec        pag       ACTIVE
perf:eeaprb103mfd:2                     uplane_perf_4                 813 sec        pag       ACTIVE
perf:eeaprb103mfd:3                     uplane_perf_6                 1003 sec       pag       ACTIVE
perf:eeaprb103wvn:0                     uplane_perf_0                 769 sec        pag       ACTIVE
perf:eeaprb103wvn:1                     uplane_perf_4                 743 sec        pag       ACTIVE
perf:eeaprb103wvn:2                     uplane_perf_0                 757 sec        pag       ACTIVE
perf:eeaprb103wvn:3                     uplane_perf_4                 735 sec        pag       ACTIVE
perf:eeaprb104bkt:0                     uplane_perf_1                 675 sec        pag       ACTIVE
perf:eeaprb104bkt:1                     uplane_perf_4                 754 sec        pag       ACTIVE
perf:eeaprb104bkt:2                     uplane_perf_7                 707 sec        pag       ACTIVE
perf:eeaprb104bkt:3                     uplane_perf_2                 859 sec        pag       ACTIVE
perf:eeaprb104cro:0                     uplane_perf_5                 966 sec        pag       ACTIVE
perf:eeaprb104cro:1                     uplane_perf_0                 813 sec        pag       ACTIVE
perf:eeaprb104cro:2                     uplane_perf_3                 935 sec        pag       ACTIVE
perf:eeaprb104cro:3                     uplane_perf_6                 962 sec        pag       ACTIVE
perf:eeaprb104lds:0                     uplane_perf_1                 588 sec        pag       ACTIVE
perf:eeaprb104lds:1                     uplane_perf_4                 674 sec        pag       ACTIVE
perf:eeaprb104lds:2                     uplane_perf_7                 640 sec        pag       ACTIVE
perf:eeaprb104lds:3                     uplane_perf_2                 755 sec        pag       ACTIVE
perf:eeaprb104ltn:0                     uplane_perf_5                 950 sec        pag       ACTIVE
perf:eeaprb104ltn:1                     uplane_perf_0                 772 sec        pag       ACTIVE
perf:eeaprb104ltn:2                     uplane_perf_3                 897 sec        pag       ACTIVE
perf:eeaprb104ltn:3                     uplane_perf_6                 979 sec        pag       ACTIVE
perf:eeaprb104mfd:0                     uplane_perf_1                 706 sec        pag       ACTIVE
perf:eeaprb104mfd:1                     uplane_perf_3                 896 sec        pag       ACTIVE
perf:eeaprb104mfd:2                     uplane_perf_5                 944 sec        pag       ACTIVE
perf:eeaprb104mfd:3                     uplane_perf_7                 761 sec        pag       ACTIVE
perf:eeaprb104wvn:0                     uplane_perf_1                 652 sec        pag       ACTIVE
perf:eeaprb104wvn:1                     uplane_perf_5                 849 sec        pag       ACTIVE
perf:eeaprb104wvn:2                     uplane_perf_1                 604 sec        pag       ACTIVE
perf:eeaprb104wvn:3                     uplane_perf_5                 861 sec        pag       ACTIVE
perf:eeaprb105bkt:0                     uplane_perf_2                 869 sec        pag       ACTIVE
perf:eeaprb105bkt:1                     uplane_perf_5                 900 sec        pag       ACTIVE
perf:eeaprb105bkt:2                     uplane_perf_0                 786 sec        pag       ACTIVE
perf:eeaprb105bkt:3                     uplane_perf_3                 877 sec        pag       ACTIVE
perf:eeaprb105cro:0                     uplane_perf_6                 993 sec        pag       ACTIVE
